2025-06-16 08:42:53.142899,RAJA,LOGIN
2025-06-16 08:43:58.053578,RAJA,GENERATED_PLAN LOKI
2025-06-16 08:44:36.469660,RAJA,LOGOUT
2025-06-16 10:51:37.726483,RAJA,LOGIN
2025-06-16 10:55:22.250017,RAJA,LOGIN
2025-06-16 10:56:36.307395,RAJA,GENERATED_PLAN loki
2025-06-16 11:00:25.288029,RAJA,GENERATED_PLAN loki
2025-06-16 11:05:28.290051,RAJA,GENERATED_PLAN loki
2025-06-16 11:06:47.863260,RAJA,GENERATED_PLAN loki
2025-06-16 11:13:52.065562,RAJA,CREATED_USER MANOO
2025-06-16 11:14:14.585094,MANOO,LOGIN
2025-06-17 13:57:03.811701,RAJA,LOGIN
